 ,Limit,vSphere 6.5,vSphere 6.7,vSphere 7.0
, i40en 40 Gb Ethernet Ports (Intel),4,NA,NA
, VSS portgroups per host,1000,1000,1000
,50 Gb Ethernet ports,NA,8,8
,100 Gb Ethernet ports,NA,4,4
,qedentv 50 Gb Ethernet Port (Qlogic),4,NA,NA
,20 Gb Ethernet ports,NA,up to 16,up to 16
,qedentv 25 Gb Ethernet Port (Qlogic),4,NA,NA
,10 Gb Ethernet ports,NA,up to 16,up to 16
,VMDirectPath PCI/PCIe devices per host,8,8,8
,40 Gb Ethernet ports,NA,8,8
,qedentv 100 Gb Ethernet Port (Qlogic),2,NA,NA
,25 Gb Ethernet ports,NA,16,16
,SR-IOV Number of 10 G pNICs per host,8,8,8
,LACP - LAGs per host,64,64,64
,SR-IOV Number of virtual functions per host,1024,1024,1024
,LACP - uplink ports per LAG (Team),32,32,32
,Total virtual network switch ports per host (VDS and VSS ports),4096,NA,NA
,Hosts per distributed switch,2000,2000,2000
,VMDirectPath PCI/PCIe devices per virtual machine,4,4,4
,NIOC resource pools per vDS,64,64,64
,,,,
,,,,
ESXi Host Maximums:Cluster and Resource Pool Maximums,Clusters managed by vLCM,NA,NA,64
,FT virtual machines vCPU per Cluster,256,256,256
,Resource pools per cluster,1600,1600,1600
,Resource pool tree depth,NA,8,8
,Virtual Machines per cluster,8000,8000,8000
,Hosts per cluster,64,64,96
,Virtual machines per hos,1024,1024,1024
,Resource pools per host,1600,1600,1600
,Powered-on virtual machine config files per datastore in an HA cluster,2048,2048,2048
,Children per resource pool,1600,1600,1600
,FT virtual machines per cluster,98,98,98
,Children per resource pool,8,NA,NA
,,,,
,,,,
ESXi Host Maximums:ESXi Graphics Maximums,Maximum number of shared physical GPUs,16,16,16
,Maximum virtual graphics memory per virtual machine,2GB,NA,NA
,,,,
,,,,
vCenter Server,vMotion operations per datastore,128,128,128
,Storage vMotion operations per host,2,2,2
,Storage vMotion operations per datastore,8,8,8
,Non-vMotion provisioning operations per host,8,8,8
,Hosts per vCenter Server,2000,2000,2500
,Total number of libraries per VC,1000,1000,1000
,Powered-on virtual machines per vCenter Server,25000,25000,40000
,Total items per library,1000,1000,1000
,Registered virtual machines per vCenter Server,35000,35000,45000
,Linked vCenter Servers,15,15,15
,Hosts (with embedded vPostgres database),20,20,NA
, Virtual machines (with embedded vPostgres database),200,200,NA
,Total content library items per VC (across all libraries),2000,2000,2000
,Powered On Virtual Machines,NA,NA,NA
,Biggest content library item size,1 TB,1 TB,1 TB
,Datastores,NA,NA,NA
,Profile created,500,500,500
,Hosts in linked vCenter Servers,4000,5000,15000
,Profile attached,500,500,500
, Powered-on virtual machines in linked vCenter Servers,30000,50000,135000
,Registered virtual machines in linked vCenter Servers,50000,70000,150000
,Maximum number of concurrent sync operations on the published library's VC,16,16,16
,Maximum mixed vSphere Client (HTML5) simultaneous connections per VC,NA,NA,100
,Hosts per vCenter Server managed by vSphere Lifecycle Manager,NA,NA,400
,Hosts,NA,NA,NA
,Maximum supported inventory for vSphere Client (HTML5),10000 VMs. 1000 Hosts,NA,NA
,VMDK per OVA/OVF template,NA,9,9
,vMotion operations per host (1 Gb/s network),4,4,4
,Maximum latency supported between linked vCenter Servers,NA,100ms,NA
,vMotion operations per host (10 Gb/s network),8,8,8
,Number of host per datacenter,2000,NA,NA
,MAC addresses per vCenter Server (using default VMware OUI),65536,65536,65536
